11/21/24 8:03:31: afkdev.scss - parse error: failed at `$` C:\laragon\www\Lading-page-Viagens\wp-content\themes\AFKdev\assets\scss\afkdev.scss on line 1, at column 0
11/21/24 8:04:19: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:04:29: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:04:32: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:16:51: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:17:04: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:17:29: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:17:40: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:17:51: inicio.scss - Undefined variable $font-1: inicio.scss on line 3, at column 5
11/21/24 8:19:52: afkdev.scss - parse error: failed at `$font-1: ` C:\laragon\www\Lading-page-Viagens\wp-content\themes\AFKdev\assets\scss\afkdev.scss on line 4, at column 1
